Handle,Variant Barcode,Title,Body (HTML),Vendor,Product Category,Type,Tags,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Gift Card,Variant Weight Unit,Cost per item,Included / United States,Included / International,Status
young-lola-i-m-only-f-king-myself-the-basic-b-tch-edition-explicit-lyrics-140-gram-vinyl-colored-vinyl-pink-20250919,602478429101,"Young, Lola - I'm Only F**king Myself [The 'Basic B*tch' Edition] LP (Explicit Lyrics, 140 Gram Vinyl, Colored Vinyl, Pink)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Lola Young - ""I'm Only F*king Myself"". Pressed on 140g nude pink vinyl, this edition comes with a 12x12 insert and includes the hit single 'One Thing'. It's sweet, subtle, and a little sarcastic - perfect for those days when you need to scream into the void and still look cute doing it. Call it ""basic,"" call it iconic - either way, it's yours to define. This is for anyone who's ever rolled their eyes and then turned the volume up. Who even decides what's basic, anyway? Exactly. EXPLICIT</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,29.092299999999998,36.092299999999994,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/24/4438424-3411987.jpg,FALSE,lb,23.092299999999998,TRUE,TRUE,draft
dolphy-eric-quintet-far-cry-with-booker-little-limited-180-gram-vinyl-with-bonus-tracks-spain-import-limited-edition-180-gram-vinyl-bonus-tracks-20250919,8435723701873,"Dolphy, Eric Quintet - Far Cry With Booker Little - Limited 180-Gram Vinyl with Bonus Tracks LP (Spain - Import, Limited Edition, 180 Gram Vinyl, Bonus Tracks)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,19.8523,26.8523,TRUE,TRUE,,FALSE,lb,13.8523,TRUE,TRUE,draft
blakey-art-the-jazz-messengers-moanin-limited-180-gram-crystal-clear-vinyl-with-bonus-tracks-spain-import-limited-edition-180-gram-vinyl-clear-vinyl-bonus-tracks-20250919,8435723701927,"Blakey, Art & the Jazz Messengers - Moanin - Limited 180-Gram Crystal Clear Vinyl with Bonus Tracks LP (Spain - Import, Limited Edition, 180 Gram Vinyl, Clear Vinyl, Bonus Tracks)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Moanin' (1958) stands as the definitive hard bop album by Art Blakey and The Jazz Messengers, brimming with soulful melodies, tight arrangements, and blistering solos. The record introduced timeless standards like the title track, ""Along Came Betty,"" ""Are You Real?,"" and ""Blues March,"" all penned by Benny Golson and powered by the electrifying trumpet of Lee Morgan and the gospel-rooted piano of Bobby Timmons. This 180g crystal clear vinyl edition includes two bonus live tracks recorded in Paris later that same year, showcasing the group's energy and musical cohesion in concert. A cornerstone of modern jazz.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,21.3923,28.3923,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/16/4438616-3436388.jpg,FALSE,lb,15.392299999999999,TRUE,TRUE,draft
hosono-haruomi-tropical-dandy-indie-exclusive-colored-vinyl-blue-20250919,659457251543,"Hosono, Haruomi - Tropical Dandy LP (Indie Exclusive, Colored Vinyl, Blue)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,40.6346,47.6346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/86/4438486-3409803.jpg,FALSE,lb,34.6346,TRUE,TRUE,draft
hancock-herbie-mwandishi-limited-180-gram-green-colored-vinyl-holland-import-limited-edition-180-gram-vinyl-colored-vinyl-green-20250919,8719262040564,"Hancock, Herbie - Mwandishi - Limited 180-Gram Green Colored Vinyl LP (Holland - Import, Limited Edition, 180 Gram Vinyl, Colored Vinyl, Green)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Limited edition of 2000 numbered copies on moss green coloured 180-gram audiophile vinyl. This album is one of Herbie Hancock's first departures from the traditional idioms of jazz, as well as the beginning of an original and creative style which eventually appealed to a wider audience. In addition, Mwandishi was Hancock's attempt at continuing the musical principles and styles he explored in his previous experiences with Miles Davis. Mwandishi was recorded at Wally Heider Studios Studio C, in San Francisco, California in January 1971, by Hancock's Mwandishi Sextet. The recording incorporated progressive notions of funk, jazz, and rock. Herbie Hancock is one of the most prolific jazz pianists of the 20th century. A child prodigy, he played with greats such as Donald Byrd and Miles Davis. He was one of the first to embrace and master the electric piano.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,36.7923,43.7923,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/77/4449177-3432140.jpg,FALSE,lb,30.7923,TRUE,TRUE,draft
tove-lo-lewis-sg-heat-explicit-lyrics-extended-play-180-gram-vinyl-colored-vinyl-purple-black-20250919,198704418976,"Tove Lo / Lewis, Sg - HEAT LP (Explicit Lyrics, Extended Play, 180 Gram Vinyl, Colored Vinyl, Purple, Black)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Tove Lo/SG Lewis - ""HEAT"". A celebration of the queer community, hyper-creative nightlife and freedom of expression, Tove Lo and SG Lewis bring the HEAT with a new dance EP - 4 steamy, sexy, spicy tracks to hit the clubs and dance floor. HEAT is an organic collaboration based on the friendship between Tove Lo and SG Lewis that celebrates the queer community by drawing inspiration from hyper-creative club culture and nightlife. Available on deep purple/black 180g vinyl with printed inner sleeve. EXPLICIT</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,26.0046,33.004599999999996,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/16/4448716-3438082.jpg,FALSE,lb,20.0046,TRUE,TRUE,draft
krigsgrav-stormcaller-eco-vinyl-20250919,736832002652,Krigsgrav - Stormcaller LP (Eco Vinyl),"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Krigsgrav - ""Stormcaller"". Krigsgrav is an atmospheric black metal band blending bleak melody, crushing riffs, and post-metal sensibilities. Krigsgrav channel the haunting beauty of nature, personal loss, and existential dread into expansive, emotionally driven compositions. If you're into bands like Agalloch, Panopticon, or early Katatonia, Krigsgrav hits that same introspective, immersive vein. 2 LP set on random eco-mix vinyl.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,36.7846,43.7846,TRUE,TRUE,,FALSE,lb,30.784599999999998,TRUE,TRUE,draft
murray-anne-here-you-are-180-gram-vinyl-20250919,602478436932,"Murray, Anne - Here You Are LP (180 Gram Vinyl)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Anne Murray - ""Here You Are"". In celebration of her 80th birthday, Anne Murray releases Here You Are, her 33rd studio album. The album features 11 never-before-heard songs recorded between 1978 and 1995. Executive produced by Grammy and JUNO Awardwinner, Bob Rock and mixed by Adam Greenholtz, Here You Are revitalizes a collection of rare studio recordings, masterfully updated for release. These rediscovered songs expand Murray's timeless catalog, giving fans music that bridges the past and present. Available on 180g black vinyl.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,31.402300000000004,38.402300000000004,TRUE,TRUE,,FALSE,lb,25.402300000000004,TRUE,TRUE,draft
trsh-string-theory-ice-blue-w-black-blue-splatter-20250919,843563187005,Trsh - String Theory - Ice Blue w/Black & Blue Splatter LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Ice Blue with Black and Blue Splatter Vinyl. New record from emo-alternative midwest band TRSH, released on Wax Bodega.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,25.2346,32.2346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/56/4421556-3383301.jpg,FALSE,lb,19.2346,TRUE,TRUE,draft
train-kristina-county-line-20250919,199350444234,"Train, Kristina - County Line LP","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,29.084600000000002,36.0846,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/08/4450208-3434000.jpg,FALSE,lb,23.084600000000002,TRUE,TRUE,draft
pink-stones-thank-the-lord-it-s-the-pink-stones-colored-vinyl-blue-20250919,607396204410,"Pink Stones - Thank The Lord... It's The Pink Stones LP (Colored Vinyl, Blue)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,29.084600000000002,36.0846,TRUE,TRUE,,FALSE,lb,23.084600000000002,TRUE,TRUE,draft
weld-dave-bluesin-through-the-years-colored-vinyl-20250919,038153089412,"Weld, Dave - Bluesin' Through the Years LP (Colored Vinyl)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Delmark, Dave & Monica think that ""Bluesin' Through the Years"" as a special red vinyl LP will be an excellent way to feature many of Dave and Monica's great tunes. As Monica says, ""It feels like it will last forever!"" Dave agrees, emphatically.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,25.2346,32.2346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/93/4443893-3418770.jpg,FALSE,lb,19.2346,TRUE,TRUE,draft
human-leather-here-comes-the-mind-there-goes-the-body-20250919,5056688832056,"Human Leather - Here Comes The Mind, There Goes The Body LP","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,32.16459999999999,39.16459999999999,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/37/4452337-3439184.jpg,FALSE,lb,26.164599999999997,TRUE,TRUE,draft
leon-carin-colmillo-de-leche-20250919,196922912009,"Leon, Carin - Colmillo De Leche LP","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,36.0146,43.0146,TRUE,TRUE,,FALSE,lb,30.014599999999998,TRUE,TRUE,draft
leon-carin-palabra-de-to-s-seca-explicit-lyrics-limited-edition-180-gram-vinyl-colored-vinyl-20250919,198704534386,"Leon, Carin - Palabra De To's (Seca) LP (Explicit Lyrics, Limited Edition, 180 Gram Vinyl, Colored Vinyl)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Carín León - ""Palabra de To's (Seca)"". Carín León returns to his roots with an album that redefines tradition - authentic Mexican music recorded live in Hermosillo, Sonora. Curated by Edgar Barrera, it blends heartfelt originals and iconic covers, celebrating Mexican artistry. With it's Da Vinci-inspired cover art, this release is Música Mexicana at it's finest. 2 LP set on 180g ""night sky"" color vinyl in wide spine jacket with printed inner sleeves. Limited Edition. EXPLICIT</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,36.0146,43.0146,TRUE,TRUE,,FALSE,lb,30.014599999999998,TRUE,TRUE,draft
harris-eddie-the-in-sound-remastered-20250919,5060149623091,"Harris, Eddie - The In Sound LP (Remastered)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>This is one of Eddie Harris' great records. The playing is inspired! What a band! Cedar Walton (piano) and Billy Higgins (drums), Lee Morgan's favourite rhythm section.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,52.9546,60.98,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/66/3783166-3438141.jpg,FALSE,lb,46.9546,TRUE,TRUE,draft
goods-torsten-soul-deep-united-kingdom-import-20250919,885150717523,"Goods, Torsten - Soul Deep LP (United Kingdom - Import)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,36.7923,43.7923,TRUE,TRUE,,FALSE,lb,30.7923,TRUE,TRUE,draft
ripe-play-the-game-indie-exclusive-colored-vinyl-aqua-autographed-star-signed-20250919,810599025182,"Ripe - Play The Game LP (Indie Exclusive, Colored Vinyl, Aqua, Autographed/Star Signed)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>RIPE / PLAY THE GAME (Indie - Aqua w/ signed insert) Following the critically acclaimed Bright Blues and sold out shows across the country, Ripe are back with their new LP Play The Game produced by the legendary Joe Chiccarelli (The White Stripes, My Morning Jacket, The Front Bottoms). ""A highlight of the national festival scene"" according to the Boston Globe, the album builds on Ripe's signature sound with soaring melodies, emotional lyrics, and blending driving pop-rock with tight horn arrangements.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,25.2346,32.2346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/46/4446946-3421761.jpg,FALSE,lb,19.2346,TRUE,TRUE,draft
deo-cadaver-zombie-radio-20250919,4251804187206,Deo Cadaver - Zombie Radio LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,46.794599999999996,52.98,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/97/4448797-3429663.jpg,FALSE,lb,40.794599999999996,TRUE,TRUE,draft
la-luz-news-of-the-universe-20250919,098787161014,La Luz - News of the Universe LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>""I was in a dream, but now I can see that change is the only law.""With a credo adapted from science fiction author Octavia E. Butler, an album title from a collection of metaphysical poetry, and an expansion in consciousness brought on by personal crisis, guitarist and songwriter Shana Cleveland learns to embrace a changing world with unconditional love on News of the Universe, the new full-length from California rock band La Luz.News of the Universe is a record born of calamity, a work of dark, beautiful psychedelia reflecting Cleveland's experience of having her world blown apart by a breast cancer diagnosis just two years after the birth of her son. It's also a portrait of a band in flux, marking the first appearance for drummer Audrey Johnson and the final ones from longtime members bassist Lena Simon and keyboardist Alice Sandahl, whose contributions add a bittersweet edge to a record that is both elegy for an old world and cosmic road map to a strange new one.But is there any band in the world more suited to capturing the chaos of change in all it's messy beauty than La Luz? Formed by Cleveland in 2012, La Luz is beloved for their ability to balance bedlam and bliss, each new record another fine-tuning of the band's mix of swaggering riffs with angelic vocals borrowed from doo-wop and folk; a band so reliably great that it makes the huge step forward in confidence and sheer musicality that is News of the Universe all the more formidable. Cleveland, also a writer and painter, has developed into a truly original songwriter with her own canon of haunted psychedelia. Yet if Cleveland has spent years writing songs about ghosts, what lurks in the shadows of News of the Universe is nothing less than death itself. ""There are moments on this album that sound to me like the last frantic confession before an asteroid destroys the earth,"" says Cleveland. The powerful sense of openness that permeates News of the Universe is at least partially due to the fact that it is a record made entirely by women-from the performing, writing, and producing all the way through to the recording, engineering, and mastering. Working with producer Maryam Qudos (Spacemoth), the all-female environment allowed Cleveland to feel safe tapping into difficult places and expressing hard emotions women are socialized to suppress. Unashamedly vulnerable, unabashedly feminine, and undeniably triumphant, News of the Universe is another knockout record from a band so reliably great that it has perhaps led people to overlook how pioneering La Luz really are: women of color in indie music forging their own path by following their own artistic star into galaxies beyond current musical trends, always led by an earnest belief in the cosmic power of love and a great riff. Never is that more true than on News of the Universe, which might be La Luz's most brutal record to date but also their most blissful.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,25.2346,32.2346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/42/4444242-3419431.jpg,FALSE,lb,19.2346,TRUE,TRUE,draft
pase-bel-tan-francophonies-creolities-var-pase-bel-tan-francophonies-and-creolities-in-louisiana-20250919,2265094245425,Pase Bel Tan: Francophonies & Creolities / Var - Pase Bel Tan: Francophonies And Creolities In Louisiana LP,"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,46.794599999999996,52.98,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/56/4447756-3426673.jpg,FALSE,lb,40.794599999999996,TRUE,TRUE,draft
wilder-maker-the-streets-like-beds-still-warm-explicit-lyrics-20250919,843563186763,Wilder Maker - The Streets Like Beds Still Warm LP (Explicit Lyrics),"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Brooklyn band Wilder Maker's principal songwriter, Gabriel Birnbaum says that the group's latest full-length, The Streets Like Beds Still Warm follows ""an overall formal asymmetry, like dream logic."" It is richly textured, moody, and deep and is as distinctly narrative as it is literally experimental. To call it a concept album, as big as that term is, would actually be to sell it short. It is, in fact, only the first part of a concept trilogy that tells the tale of one long night in the city, from dusk to dawn. The Streets Like Beds Still Warm follows a lonely narrator as he drifts down avenues and in and out of bars and hospital rooms. He thinks on big questions and bigger questions, gets into some trouble, worries about his sick father, grapples with rivals and competitors who could be his friends but are not; he orders cocktails, dreams he is a genius, thinks about God and fate and so on. The record closes out at around 1:15am, leaving the story to be continued. If this sounds a bit noirish, that's because it is. ""Film noir detectives always start out looking immaculate, but by the end of the film they have a torn collar, a black eye, their slacks are stained, and they've started slapping people around in desperation,"" Birnbaum says. ""Are they the good guy anymore? I find this fascinating and I love the visual cues reflecting the internal landscape."" While there are no visual cues, per se, on The Streets Like Beds Still Warm, the record owes a great debut to cinematography. Impressionistic swirls of effected guitar, drums, and saxophone support Birnbaum's husky and worldweary baritone croon which sometimes echoes Bill Fay. But at times, in all it's dim-lit barroom storytelling, one may think of Tom Waits. It's a comparison that threatens both to mislead and sell short, but it's difficult not to see things while listening to The Streets Like Beds Still Warm - perhaps a slowly swinging Tiffany lamp just above the narrator's head as he's a little more than half-drunk, scrawling a brilliantly poetic, antiheroic tale on a bar napkin. Be assured, though, this is not The Heart of Saturday Night and it's not In the Wee Small Hours. In fact, The Streets Like Beds Still Warm's musical precedents come from distinctly different corners of the musical universe. The band draws direct influence from the work of alt-jazz contemporaries Anna Butterss and Jeff Parker as well as ambient progenitor Brian Eno. One also hears echoes of Birnbaum's series of mellow and dreamy Nightwater records, quasi-ambient four-track experiments. But while those beautiful recordings were solitary affairs, The Streets Like Beds Still Warm is certainly not. The record builds on Birnbaum and band's years of experience as improvising musicians, often well outside of the sort of ""indie rock"" scene with which Wilder Maker may be associated. It is, as Birnbaum puts it, ""the inverse of the typical songwriter record."" Ambling, rambling, and dreamy, these songs were culled from open-ended sessions. Wilder Maker has boasted an intact lineup for over a decade consisting of Adam Brisbin, Nick Jost, Sean Mullins, and Birnbaum, as well as perennial collaborator Katie Von Schleicher. This record showcases their interplay and musical conversation in a way that the more straightforward style of 2022's Male Models did not. To create The Streets Like Beds Still Warm, the group edited longer improvisations into more condensed pieces and then wrote over those pieces, ""turning them into songs."" Joseph Shabason, Macie Stewart, Chuck Johnson, Will Shore, Rebecca el-Saleh (Kitba), and Cole Kamen-Green all appear as well, each contributing to Wilder Maker's sound world for the first time. These stellar players' additions weave in and out of the greater conversation, drifting like crucial supporting characters, expanding and varying the record's perspective and enriching the palette of the improvisatory source material.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,25.2346,32.2346,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/17/4444317-3419501.jpg,FALSE,lb,19.2346,TRUE,TRUE,draft
komolahe-dadisi-hassans-walk-remastered-20250919,5060149622940,"Komolahe, Dadisi - Hassans Walk LP (Remastered)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Don't let the date fool you, released back in 1983 this modal to slightly free jazz outfit from California takes you on a journey back to the late 60s and very early 70s, into the spiritual realms of greats like John Coltrane, Pharoah Sanders, John McLaughlin and Miles Davis among others. A soul jazz treasure from the LA scene of the early 80s - a fantastic record that I rank with the best Strata East sides of the time! The group's led by alto saxophonist Dadisi Komolafe, and features vibes by Ricky Kelly, piano by Eric Tillman, bass by Roberto Miranda, and drums by Sunship Theus - all working together in a style that's infused with soulful, post-Coltrane exploratory energy, never going too far outside, and always staying true to the rhythmic pulse at it's core. Kelly's vibes are really great - sparkling underneath solos by Komolafe that remind me a lot of Gary Bartz's earliest work.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,49.8746,56.98,TRUE,TRUE,https://media.aent-m.com/graphics/items/sdimages/c/500/7/0/3/9/3909307.jpg,FALSE,lb,43.8746,TRUE,TRUE,draft
sebastian-adele-desert-fairy-princess-remastered-20250919,5060149622933,"Sebastian, Adele - Desert Fairy Princess LP (Remastered)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>Adele Sebastian was an Afro American jazz flutist and singer, active from the early 70s (when she was still a teenager) until her untimely death at the age of 27 (!) in 1983 from a kidney failure. In fact she had been depending on monthly dialysis to stay alive for years. She lived through and for the music and you can hear it on her only solo album ""Desert Fairy Princess"" which was first issued in 1981. The mostly acoustic instrumentation brings a very natural and therefore rather retrospective sound considering the year the album was recorded. Adele and her band pull it off right from the start as if it had been 1966 and it was time for a revolution to shake the dust from the old time jazz. In a perfect way she mixes classic American vocal jazz elements with playful and more free passages, Latin music and tribal African sounds in the lengthy and quite rhythm oriented ""Man From Tanganyika"" and makes the title track start with a mystical ""Allahu akbar"" chant while it turns more and more into a dark and gloomy song with something like a psychedelic edge reminiscent of Pharoah Sanders on his early works. Wild rhythms from drums, percussions with tons of bells and chimes weave a thick groove carpet and conjure a magical atmosphere. Those jazz aficionados who love the mid 60s John Coltrane, his sidekick Pharoah Sanders and Alice Coltrane will go crazy for this album.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,35.2446,42.2446,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/82/3651782-3438135.jpg,FALSE,lb,29.2446,TRUE,TRUE,draft
leaether-strip-aeppreciation-viii-limited-edition-blue-20250919,889466684319,"Leaether Strip - Aeppreciation VIII LP (Limited Edition, Blue)","<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,27.5446,34.5446,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/26/4450226-3434036.jpg,FALSE,lb,21.5446,TRUE,TRUE,draft
chiodos-all-s-well-that-end-s-well-20th-anniversary-iex-indie-exclusive-20250919,198704550690,Chiodos - All's Well That End's Well (20th Anniversary) (IEX) LP (Indie Exclusive),"<p>This is a preorder for 09/19/2025! We will ship as soon as your full order arrives, which will usually be that day or the following day. Occasionally, it may be up to a week later. See the full list of the week for more details, and email info@latchkeyrecords.com with any questions!</p><p>A re-recording of Chiodos' 2005 debut album 'Alls Well That Ends Well' to celebrate it's 20 year anniversary. The band is currently on an a celebratory US headline tour and will be releasing a graphic novel based on the album via Sumerian Comics.</p>",Alliance Entertainment,Media > Music & Sound Recordings > Records & LPs,Records & LPs,"preorder club,preorder20250919",Title,Default Title,180,shopify,continue,manual,29.084600000000002,36.0846,TRUE,TRUE,https://mediacdn.aent-m.com/prod-img/500/03/4442303-3418590.jpg,FALSE,lb,23.084600000000002,TRUE,TRUE,draft
